"","generation","treatment","day","broodsize","broodnum","cumulative","survival","replicate","offspring"
"367","0","HFC",16,103,3,375,100,"7","39"
"368","0","HFC",16,103,3,375,100,"8",NA
"369","0","HFC",16,103,3,375,100,"9",NA
"370","0","HFC",16,103,3,375,100,"10",NA
"371","0","HFC",16,103,3,375,100,"11",NA
"372","0","HFC",16,103,3,375,100,"12",NA
"373","0","HFC",16,103,3,375,100,"13",NA
"374","0","HFC",16,103,3,375,100,"14",NA
"375","0","HFC",16,103,3,375,100,"15",NA
"376","0","HFC",16,103,3,375,100,"16","37"
"377","0","HFC",16,103,3,375,100,"17",NA
"378","0","HFC",16,103,3,375,100,"18",NA
"379","0","HFC",16,103,3,375,100,"19","26"
"380","0","HFC",16,103,3,375,100,"20",NA
"381","0","HFC",17,451,3,826,100,"1","15"
"382","0","HFC",17,451,3,826,100,"2","15"
"383","0","HFC",17,451,3,826,100,"3",NA
"384","0","HFC",17,451,3,826,100,"4","29"
"385","0","HFC",17,451,3,826,100,"5","40"
"386","0","HFC",17,451,3,826,100,"6","40"
"387","0","HFC",17,451,3,826,100,"7",NA
"388","0","HFC",17,451,3,826,100,"8","33"
"389","0","HFC",17,451,3,826,100,"9",NA
"390","0","HFC",17,451,3,826,100,"10","39"
"391","0","HFC",17,451,3,826,100,"11","30"
"392","0","HFC",17,451,3,826,100,"12","40"
"393","0","HFC",17,451,3,826,100,"13","36"
"394","0","HFC",17,451,3,826,100,"14","37"
"395","0","HFC",17,451,3,826,100,"15","10"
"396","0","HFC",17,451,3,826,100,"16",NA
"397","0","HFC",17,451,3,826,100,"17","15"
"398","0","HFC",17,451,3,826,100,"18","29"
"399","0","HFC",17,451,3,826,100,"19",NA
"400","0","HFC",17,451,3,826,100,"20","43"
"401","0","HFC",18,1,3,827,100,"1",NA
"402","0","HFC",18,1,3,827,100,"2",NA
"403","0","HFC",18,1,3,827,100,"3",NA
"404","0","HFC",18,1,3,827,100,"4",NA
"405","0","HFC",18,1,3,827,100,"5",NA
"406","0","HFC",18,1,3,827,100,"6",NA
"407","0","HFC",18,1,3,827,100,"7",NA
"408","0","HFC",18,1,3,827,100,"8",NA
"409","0","HFC",18,1,3,827,100,"9",NA
"410","0","HFC",18,1,3,827,100,"10",NA
"411","0","HFC",18,1,3,827,100,"11",NA
"412","0","HFC",18,1,3,827,100,"12",NA
"413","0","HFC",18,1,3,827,100,"13",NA
"414","0","HFC",18,1,3,827,100,"14",NA
"415","0","HFC",18,1,3,827,100,"15","1"
"416","0","HFC",18,1,3,827,100,"16",NA
"417","0","HFC",18,1,3,827,100,"17",NA
"418","0","HFC",18,1,3,827,100,"18",NA
"419","0","HFC",18,1,3,827,100,"19",NA
"420","0","HFC",18,1,3,827,100,"20",NA
"421","0","HFC",19,0,NA,827,100,"1",NA
"422","0","HFC",19,0,NA,827,100,"2",NA
"423","0","HFC",19,0,NA,827,100,"3",NA
"424","0","HFC",19,0,NA,827,100,"4",NA
"425","0","HFC",19,0,NA,827,100,"5",NA
"426","0","HFC",19,0,NA,827,100,"6",NA
"427","0","HFC",19,0,NA,827,100,"7",NA
"428","0","HFC",19,0,NA,827,100,"8",NA
"429","0","HFC",19,0,NA,827,100,"9",NA
"430","0","HFC",19,0,NA,827,100,"10",NA
"431","0","HFC",19,0,NA,827,100,"11",NA
"432","0","HFC",19,0,NA,827,100,"12",NA
"433","0","HFC",19,0,NA,827,100,"13",NA
"434","0","HFC",19,0,NA,827,100,"14",NA
"435","0","HFC",19,0,NA,827,100,"15",NA
"436","0","HFC",19,0,NA,827,100,"16",NA
"437","0","HFC",19,0,NA,827,100,"17",NA
"438","0","HFC",19,0,NA,827,100,"18",NA
"439","0","HFC",19,0,NA,827,100,"19",NA
"440","0","HFC",19,0,NA,827,100,"20",NA
"441","0","HFC",20,84,3,911,100,"1",NA
"442","0","HFC",20,84,3,911,100,"2",NA
"443","0","HFC",20,84,3,911,100,"3","46"
"444","0","HFC",20,84,3,911,100,"4",NA
"445","0","HFC",20,84,3,911,100,"5",NA
"446","0","HFC",20,84,3,911,100,"6",NA
"447","0","HFC",20,84,3,911,100,"7",NA
"448","0","HFC",20,84,3,911,100,"8",NA
"449","0","HFC",20,84,3,911,100,"9",NA
"450","0","HFC",20,84,3,911,100,"10",NA
"451","0","HFC",20,84,3,911,100,"11",NA
"452","0","HFC",20,84,3,911,100,"12",NA
"453","0","HFC",20,84,3,911,100,"13",NA
"454","0","HFC",20,84,3,911,100,"14",NA
"455","0","HFC",20,84,3,911,100,"15",NA
"456","0","HFC",20,84,3,911,100,"16",NA
"457","0","HFC",20,84,3,911,100,"17",NA
"458","0","HFC",20,84,3,911,100,"18","38"
"459","0","HFC",20,84,3,911,100,"19",NA
"460","0","HFC",20,84,3,911,100,"20",NA
"461","0","HFC",20,650,4,1561,100,"1","15"
"462","0","HFC",20,650,4,1561,100,"2","25"
"463","0","HFC",20,650,4,1561,100,"3",NA
"464","0","HFC",20,650,4,1561,100,"4","40"
"465","0","HFC",20,650,4,1561,100,"5","44"
"466","0","HFC",20,650,4,1561,100,"6","42"
"467","0","HFC",20,650,4,1561,100,"7","43"
"468","0","HFC",20,650,4,1561,100,"8","32"
"469","0","HFC",20,650,4,1561,100,"9",NA
"470","0","HFC",20,650,4,1561,100,"10","44"
"471","0","HFC",20,650,4,1561,100,"11","44"
"472","0","HFC",20,650,4,1561,100,"12","42"
"473","0","HFC",20,650,4,1561,100,"13","51"
"474","0","HFC",20,650,4,1561,100,"14","45"
"475","0","HFC",20,650,4,1561,100,"15","20"
"476","0","HFC",20,650,4,1561,100,"16","48"
"477","0","HFC",20,650,4,1561,100,"17","24"
"478","0","HFC",20,650,4,1561,100,"18",NA
"479","0","HFC",20,650,4,1561,100,"19","44"
"480","0","HFC",20,650,4,1561,100,"20","47"
"481","0","HFC",21,3,4,1564,100,"1",NA
"482","0","HFC",21,3,4,1564,100,"2","1"
"483","0","HFC",21,3,4,1564,100,"3",NA
"484","0","HFC",21,3,4,1564,100,"4",NA
"485","0","HFC",21,3,4,1564,100,"5",NA
"486","0","HFC",21,3,4,1564,100,"6",NA
"487","0","HFC",21,3,4,1564,100,"7",NA
"488","0","HFC",21,3,4,1564,100,"8",NA
"489","0","HFC",21,3,4,1564,100,"9",NA
"490","0","HFC",21,3,4,1564,100,"10",NA
"491","0","HFC",21,3,4,1564,100,"11",NA
"492","0","HFC",21,3,4,1564,100,"12",NA
"493","0","HFC",21,3,4,1564,100,"13",NA
"494","0","HFC",21,3,4,1564,100,"14",NA
"495","0","HFC",21,3,4,1564,100,"15",NA
"496","0","HFC",21,3,4,1564,100,"16",NA
"497","0","HFC",21,3,4,1564,100,"17",NA
"498","0","HFC",21,3,4,1564,100,"18",NA
"499","0","HFC",21,3,4,1564,100,"19",NA
"500","0","HFC",21,3,4,1564,100,"20","2"
"501","0","PS_400",0,0,NA,0,100,"1",NA
"502","0","PS_400",0,0,NA,0,100,"2",NA
"503","0","PS_400",0,0,NA,0,100,"3",NA
"504","0","PS_400",0,0,NA,0,100,"4",NA
"505","0","PS_400",0,0,NA,0,100,"5",NA
"506","0","PS_400",0,0,NA,0,100,"6",NA
"507","0","PS_400",0,0,NA,0,100,"7",NA
"508","0","PS_400",0,0,NA,0,100,"8",NA
"509","0","PS_400",0,0,NA,0,100,"9",NA
"510","0","PS_400",0,0,NA,0,100,"10",NA
"511","0","PS_400",0,0,NA,0,100,"11",NA
"512","0","PS_400",0,0,NA,0,100,"12",NA
"513","0","PS_400",0,0,NA,0,100,"13",NA
"514","0","PS_400",0,0,NA,0,100,"14",NA
"515","0","PS_400",0,0,NA,0,100,"15",NA
"516","0","PS_400",0,0,NA,0,100,"16",NA
"517","0","PS_400",0,0,NA,0,100,"17",NA
"518","0","PS_400",0,0,NA,0,100,"18",NA
"519","0","PS_400",0,0,NA,0,100,"19",NA
"520","0","PS_400",0,0,NA,0,100,"20",NA
"521","0","PS_400",1,0,NA,0,100,"1",NA
"522","0","PS_400",1,0,NA,0,100,"2",NA
"523","0","PS_400",1,0,NA,0,100,"3",NA
"524","0","PS_400",1,0,NA,0,100,"4",NA
"525","0","PS_400",1,0,NA,0,100,"5",NA
"526","0","PS_400",1,0,NA,0,100,"6",NA
"527","0","PS_400",1,0,NA,0,100,"7",NA
"528","0","PS_400",1,0,NA,0,100,"8",NA
"529","0","PS_400",1,0,NA,0,100,"9",NA
"530","0","PS_400",1,0,NA,0,100,"10",NA
"531","0","PS_400",1,0,NA,0,100,"11",NA
"532","0","PS_400",1,0,NA,0,100,"12",NA
"533","0","PS_400",1,0,NA,0,100,"13",NA
"534","0","PS_400",1,0,NA,0,100,"14",NA
"535","0","PS_400",1,0,NA,0,100,"15",NA
"536","0","PS_400",1,0,NA,0,100,"16",NA
"537","0","PS_400",1,0,NA,0,100,"17",NA
"538","0","PS_400",1,0,NA,0,100,"18",NA
